"","SCHOOLID","StIDStd","ST04Q01","ESCS","MATHEFF","MTSUP","WEALTH","LEADPD","SCHLTYPE","SMRATIO","TCMORALE"
"480235",151,4682,1,0.43,0.34,1.8433,1.33,0.3739,3,88,-0.7371
"480236",151,4683,1,1.27,-0.92,1.1169,1.9,0.3739,3,88,-0.7371
"480238",152,4685,2,1.05,-0.02,0.2486,0.27,1.7628,3,13.885,-0.7371
"480240",152,4687,1,0.12,-0.18,-0.2395,-0.24,1.7628,3,13.885,-0.7371
"480244",152,4691,1,0.14,-1.21,1.8433,3.02,1.7628,3,13.885,-0.7371
"480245",152,4692,2,1.14,-0.02,-0.6577,1.33,1.7628,3,13.885,-0.7371
"480246",152,4693,2,0.25,-1.21,-0.2395,0.27,1.7628,3,13.885,-0.7371
"480247",152,4694,1,-0.7,0.54,1.8433,1.33,1.7628,3,13.885,-0.7371
"480248",152,4695,1,-1.09,-0.33,-0.2395,-0.71,1.7628,3,13.885,-0.7371
"480251",152,4698,2,-0.44,-0.48,0.2486,-0.71,1.7628,3,13.885,-0.7371
"480260",152,4707,2,1.05,-0.18,-0.2395,0.27,1.7628,3,13.885,-0.7371
"480264",152,4711,2,-0.88,-0.18,-0.2395,-0.24,1.7628,3,13.885,-0.7371
"480265",152,4712,2,-0.86,-0.18,-0.2395,0.01,1.7628,3,13.885,-0.7371
"480266",152,4713,1,-0.44,-0.18,-0.2395,0.27,1.7628,3,13.885,-0.7371
"480268",153,4715,1,0.99,2.27,1.8433,0.01,0.3739,1,135.75,0.4686
"480269",153,4716,1,0.68,0.44,0.6709,1.9,0.3739,1,135.75,0.4686
"480273",153,4720,2,0.02,0.54,-0.2395,0.91,0.3739,1,135.75,0.4686
"480275",153,4722,2,1.42,-0.33,-0.6577,1.33,0.3739,1,135.75,0.4686
"480286",153,4733,2,0.53,1.47,0.6709,0.91,0.3739,1,135.75,0.4686
"480287",153,4734,2,1.06,-1.06,-1.1894,0.27,0.3739,1,135.75,0.4686
"480289",153,4736,1,0.24,-0.63,-0.2395,1.33,0.3739,1,135.75,0.4686
"480290",153,4737,1,1.12,-0.33,-0.6577,0.57,0.3739,1,135.75,0.4686
"480294",153,4741,1,0.41,-0.02,-0.9508,1.33,0.3739,1,135.75,0.4686
"480296",153,4743,2,0.69,0.15,0.6709,0.91,0.3739,1,135.75,0.4686
"480297",153,4744,1,0.84,-0.48,1.8433,0.91,0.3739,1,135.75,0.4686
"480298",153,4745,2,1.19,-0.48,-0.2395,0.57,0.3739,1,135.75,0.4686
"480299",153,4746,2,-0.23,0.54,-0.2395,0.91,0.3739,1,135.75,0.4686
"480300",153,4747,1,-0.04,0.54,0.2486,0.27,0.3739,1,135.75,0.4686
"480311",154,4758,2,0.01,-0.18,-0.2395,0.01,1.7628,3,106.538,-0.7371
"480312",154,4759,2,-1.04,-0.18,0.2486,-0.71,1.7628,3,106.538,-0.7371
"480317",154,4764,2,-0.29,-0.48,-0.2395,-1.16,1.7628,3,106.538,-0.7371
"480318",154,4765,1,-0.47,0.78,1.8433,-0.24,1.7628,3,106.538,-0.7371
"480321",154,4768,1,0.47,-0.33,-0.6577,0.27,1.7628,3,106.538,-0.7371
"480325",154,4772,1,-0.85,0.54,1.8433,0.57,1.7628,3,106.538,-0.7371
"480328",154,4775,2,0.29,0.15,0.6709,-0.24,1.7628,3,106.538,-0.7371
"480330",154,4777,1,0.37,0.41,-0.6577,0.91,1.7628,3,106.538,-0.7371
"480331",154,4778,2,-0.42,-0.02,-0.6577,-0.48,1.7628,3,106.538,-0.7371
"480332",154,4779,1,0.94,0.78,-0.2395,0.27,1.7628,3,106.538,-0.7371
"480333",154,4780,2,0.33,-0.18,1.1169,-0.93,1.7628,3,106.538,-0.7371
"480342",155,4789,2,1.16,2.27,1.1169,1.33,1.7628,3,119.235,1.4452
"480343",155,4790,1,1.2,0.54,1.1169,0.91,1.7628,3,119.235,1.4452
"480345",155,4792,2,0.91,1.47,-0.6577,0.27,1.7628,3,119.235,1.4452
"480346",155,4793,2,0.89,0.15,0.6709,-0.24,1.7628,3,119.235,1.4452
"480351",155,4798,2,0.18,0.78,0.2486,0.27,1.7628,3,119.235,1.4452
"480352",155,4799,2,0.81,1.07,-0.2395,1.9,1.7628,3,119.235,1.4452
"480363",155,4810,1,-1.03,-3.75,0.2486,0.01,1.7628,3,119.235,1.4452
"480364",155,4811,1,0.72,-0.77,0.6709,0.91,1.7628,3,119.235,1.4452
"480368",155,4815,1,0.11,-0.77,0.6709,0.91,1.7628,3,119.235,1.4452
"480370",155,4817,1,0.35,0.54,1.1169,0.57,1.7628,3,119.235,1.4452
"480374",155,4821,2,-0.68,-0.33,1.1169,-0.24,1.7628,3,119.235,1.4452
"480375",155,4822,2,-0.14,-0.63,-0.2395,0.83,1.7628,3,119.235,1.4452
"480379",156,4826,2,0.65,-0.18,-0.2395,0.57,-0.1263,1,46,0.4686
"480388",157,4835,2,0.51,0.34,1.8433,0.3,1.7628,1,149.091,0.0826
"480390",157,4837,2,-1.17,-0.33,-0.6577,0.01,1.7628,1,149.091,0.0826
"480400",157,4847,2,1.52,-0.18,1.8433,0.57,1.7628,1,149.091,0.0826
"480403",157,4850,2,-0.36,2.27,-0.2395,0.27,1.7628,1,149.091,0.0826
"480409",157,4856,2,0.37,2.27,1.8433,-0.71,1.7628,1,149.091,0.0826
"480411",157,4858,2,0.62,2.27,1.8433,-0.48,1.7628,1,149.091,0.0826
"480413",157,4860,2,-0.09,0.34,1.1169,-0.71,1.7628,1,149.091,0.0826
"480415",158,4862,2,0.08,-0.92,-0.2395,0.91,1.0394,3,151,0.4686
"480417",158,4864,1,1.16,-0.48,-1.1894,0.57,1.0394,3,151,0.4686
"480419",158,4866,2,0.35,-0.48,-0.6577,-0.24,1.0394,3,151,0.4686
"480422",158,4869,1,-0.8,-0.18,-0.2395,-0.24,1.0394,3,151,0.4686
"480427",158,4874,2,-0.17,-0.33,1.1169,0.57,1.0394,3,151,0.4686
"480429",158,4876,1,0.57,-0.48,-0.6577,-0.24,1.0394,3,151,0.4686
"480431",158,4878,2,0.56,1.47,-0.2395,0.01,1.0394,3,151,0.4686
"480433",158,4880,2,-0.8,1.47,1.8433,-0.24,1.0394,3,151,0.4686
"480435",158,4882,1,0.53,1.47,0.6709,0.91,1.0394,3,151,0.4686
"480437",158,4884,1,-0.39,-0.18,-0.2395,0.57,1.0394,3,151,0.4686
"480439",158,4886,2,-0.2,-0.48,-0.6577,1.33,1.0394,3,151,0.4686
"480443",158,4890,2,1.45,-0.33,-0.6577,1.9,1.0394,3,151,0.4686
"480447",159,4894,1,0.27,1.47,0.6709,-0.71,0.3739,3,60.8,0.8541
"480448",159,4895,2,1.54,-0.18,1.1169,0.91,0.3739,3,60.8,0.8541
"480451",159,4898,1,1.43,0.54,-0.2395,1.33,0.3739,3,60.8,0.8541
"480455",159,4902,2,-1.22,-0.02,-0.2395,-0.24,0.3739,3,60.8,0.8541
"480461",159,4908,2,-0.04,1.07,1.1169,-0.48,0.3739,3,60.8,0.8541
"480464",159,4911,1,1.14,2.27,0.2486,0.01,0.3739,3,60.8,0.8541
"480466",159,4913,1,0.95,-0.02,0.2486,0.27,0.3739,3,60.8,0.8541
"480471",159,4918,1,-0.31,-0.48,-1.1894,1.9,0.3739,3,60.8,0.8541
"480473",159,4920,1,1.29,0.54,0.6709,0.91,0.3739,3,60.8,0.8541
"480474",159,4921,2,0.47,-0.33,0.6709,1.33,0.3739,3,60.8,0.8541
"480479",159,4926,1,1.72,2.27,0.6709,1.33,0.3739,3,60.8,0.8541
"480483",160,4930,2,-0.87,1.07,-0.2395,-0.24,0.6627,3,325.5,-0.7371
"480484",161,4931,1,0.63,-0.77,1.1169,0.01,0.3739,3,117.571,0.4686
"480485",161,4932,2,0.52,-0.02,-0.2395,-0.24,0.3739,3,117.571,0.4686
"480488",161,4935,1,0.58,0.34,1.1169,0.57,0.3739,3,117.571,0.4686
"480492",161,4939,2,1.31,-0.18,-0.2395,3.02,0.3739,3,117.571,0.4686
"480497",161,4944,2,1.38,2.27,-0.2395,1.33,0.3739,3,117.571,0.4686
"480499",161,4946,1,1.05,-0.18,0.6709,1.33,0.3739,3,117.571,0.4686
"480507",161,4954,2,0.53,0.54,0.2486,0.91,0.3739,3,117.571,0.4686
"480509",161,4956,1,1.7,1.07,0.6709,1.9,0.3739,3,117.571,0.4686
"480511",161,4958,2,0.5,-0.02,1.1169,0.27,0.3739,3,117.571,0.4686
"480514",161,4961,2,0.75,0.34,1.1169,1.33,0.3739,3,117.571,0.4686
"480520",161,4967,2,-1.23,1.07,0.2486,0.57,0.3739,3,117.571,0.4686
"480522",162,4969,2,-1.7,-3.75,0.2486,-0.71,0.6627,3,105,-1.8308
